category_id,book_id
1,1263
2,800
2,777
2,658
2,564
2,379
2,1056
2,1011
2,50
2,961
2,323
2,320
3,1176
4,56
5,260
5,1036
5,291
5,369
5,690
5,249
5,352
5,487
5,1167
5,1369
5,1289
5,479
6,913
6,126
7,654
8,345
8,1059
8,689
8,1377
8,729
8,1244
8,808
8,827
8,658
9,629
9,344
10,549
10,903
10,162
10,980
11,526
11,343
11,1252
11,341
11,577
12,985
12,569
12,173
13,882
13,1364
13,956
14,967
14,469
14,1013
14,459
15,215
15,1271
15,916
16,454
16,509
16,748
16,443
17,1083
17,784
17,173
17,634
17,124
17,1095
18,208
18,868
18,18
19,1223
19,1363
19,1183
19,420
20,518
20,877
20,997
20,445
20,866
20,721
20,501
20,333
20,865
20,1026
21,16
22,993
23,1254
23,456
23,955
23,766
23,1349
23,608
23,226
23,1090
23,1119
23,311
23,51
24,53
24,374
25,265
25,426
25,458
26,661
26,758
26,291
26,645
27,209
27,418
27,943
28,588
29,559
29,506
29,722
29,197
29,1369
29,382
29,1381
29,1185
29,273
30,283
30,148
30,316
31,208
31,54
31,898
32,381
32,560
32,837
32,410
33,1138
33,350
33,392
34,826
34,277
34,979
34,207
35,228
35,493
35,540
35,1025
35,820
35,124
35,629
36,798
36,1252
36,872
37,37
37,1329
38,1020
38,85
38,680
38,950
38,1144
38,821
38,338
39,270
39,293
40,1353
40,453
41,729
41,1012
41,214
41,592
41,1061
41,1385
41,489
41,446
42,566
42,615
43,913
43,171
44,941
44,876
44,287
44,654
44,152
45,189
45,260
45,1338
46,288
46,1264
47,12
47,667
47,1154
47,1185
47,1016
47,45
47,837
48,816
49,1084
49,118
49,1182
50,910
50,1385
50,1043
50,949
50,181
51,84
51,305
51,942
52,550
52,419
52,1392
53,895
53,890
53,636
53,1030
53,19
53,490
54,560
54,893
55,1380
55,915
55,47
55,696
56,29
56,1345
56,514
56,553
56,488
56,756
56,899
56,918
56,109
56,647
57,995
58,284
58,361
58,1370
59,183
59,1297
59,1381
59,549
59,1159
59,620
59,921
60,49
60,48
61,774
62,243
62,367
62,556
62,1074
62,262
62,1166
62,330
62,187
63,252
63,359
63,557
64,170
65,1079
65,992
65,984
65,214
65,1100
65,77
65,483
65,452
65,960
65,457
65,1151
66,935
66,576
67,1076
68,408
68,1109
68,214
68,504
68,940
68,393
68,313
68,734
68,441
68,749
69,694
69,10
70,377
70,906
71,986
71,353
71,673
71,1190
71,644
71,197
71,464
71,1113
71,29
71,920
72,176
72,924
73,868
73,718
73,1128
74,60
74,944
74,452
74,704
74,713
74,532
75,1295
76,230
76,1261
76,264
76,617
77,956
77,990
77,1003
77,644
77,1333
77,891
77,931
77,157
78,586
79,1387
79,1396
80,995
80,838
80,1344
80,1039
80,521
80,1204
80,121
80,730
80,1222
80,223
80,280
80,751
81,1023
82,565
82,861
82,1013
82,241
83,1225
83,202
83,1354
83,534
84,62
84,639
84,1098
85,1318
85,640
85,748
86,1062
86,984
86,414
86,1094
86,908
86,1395
86,206
86,106
87,811
87,1368
88,1024
89,448
89,714
89,468
89,352
89,867
89,139
89,510
89,74
90,336
91,1080
91,648
91,1031
